NPO,服務項目,服務對象,網站,電子郵件,聯絡電話,所在縣市,聯絡人
社團法人苗栗縣視覺障礙者福利協進會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、就業準備及訓練、社會宣導,身心障礙,,color8421@yahoo.com.tw,03-7279631,苗栗縣,徐韻琪
社團法人苗栗縣身心障礙燭光技能發展協會,醫療協助、社會教育、推廣教育、資訊提供、關懷訪視,社區居民、身心障礙,http://www.mllight.org.tw,chen.go1688@msa.hinet.net,03-7615662,苗栗縣,古諭澄
社團法人苗栗縣身心障礙福利協進會,就業輔導、醫療協助、社會教育、推廣教育、社區發展、志願服務、親職教育、康樂休閒、宣導防治、關懷訪視,身心障礙,http://www.aa630273.bexweb.tw,aa630273@yahoo.com.tw,03-7614482,苗栗縣,劉正康
社團法人苗栗縣銀髮族照顧協會,,,https://www.unitedway.org.tw/%E7%84%A1,silvergroupcare@gmail.com,03-7638962,苗栗縣,黃瓊玉
社團法人金門縣婦女權益促進會,就業輔導、權益倡導、安親課輔、法律諮詢、關懷訪視、其他,婦女,http://kmwm.womenweb.org.tw/,t334166@yahoo.com.tw,08-2334166,金門縣,許淑蓉
社團法人金門縣康復之友協會,心理層面之支持、重建、諮商、就業服務、諮詢服務和轉介、其他,身心障礙,http://www.psy.org.tw,kmkf2013@gmail.com,08-2334380,金門縣,李芸霈
社團法人金門縣身心障礙福利協進會,生活層面之支持與重建、家屬或照顧者支持與訓練、輔助科技及無障礙環境協助、就業準備及訓練、諮詢服務,身心障礙,http://www.cakca.bexweb.tw,LoveKinmen520@gmail.com,-08-2330765,金門縣,陳佳玲
社團法人金門縣身心障礙者家長協會,生活層面之支持與重建、家屬或照顧者支持與訓練、輔助科技及無障礙環境協助、就業服務,家庭、身心障礙,,ace020304@yahoo.com.tw,08-2337393,金門縣,陳月娥
社團法人雲林縣勞工福利保護協會,就業服務、職前準備及訓練、諮詢服務和轉介、社會網絡與倡導、其他,勞工、家庭、婦女,http://tw.myblog.yahoo.com/labor-welfare/,weimaxkimo@yahoo.com.tw,05-5223173分機0,雲林縣,沈宜萱
社團法人雲林縣台西身心障礙者福利協會,生活層面之支持與重建、臨時及短期照顧-身障者、到宅服務、就業服務、諮詢服務和轉介,社區居民、家庭、身心障礙,http://ytpmdma.pixnet.net/blog,tai.hsi@hotmail.com,05-6981790,雲林縣,吳燕芬
社團法人雲林縣啟智協會,日間照顧、專業訓練、到宅服務、社會宣導,身心障礙,http://www.yaomrp.org.tw,yaomrp@ms33.hinet.net，ylsummer@so-net.net.tw,05-5571311,雲林縣,李東蒼
社團法人雲林縣康復之友協會,職業訓練、就業輔導、社會教育、推廣教育、輔導諮商、自殺防治、志願服務、問安服務、康樂休閒、資訊提供、宣導防治、關懷訪視,身心障礙,https://www.unitedway.org.tw/%E7%84%A1,r05280@ms58.hinet.net,0918-091-590（林海清理事長手機）,,吳佳齡
社團法人雲林縣復健青年協進會,日間照顧、生活層面之支持與重建、到宅服務、就業服務、諮詢服務和轉介,老人、身心障礙,http://home.way@msa.hinet.net,sweet6805@yahoo.com.tw,05-5341940,雲林縣,楊淑蘭
社團法人雲林縣照顧服務發展協會,社會教育、推廣教育、在宅服務、居家照顧、社區發展、權益倡導、志願服務、安親課輔、親職教育、送餐服務、問安服務、康樂休閒、關懷訪視、健康維護,社區居民、老人、兒童,,a7720708@yahoo.com.tw,05-7990046,雲林縣,吳國良
社團法人雲林縣生命線協會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、諮詢服務和轉介、自殺防治,其他,http://www.yunlin-lff.bexweb.tw/,Yunlin.lff@msa.hinet.net,05-5351995,雲林縣,林宥家
社團法人雲林縣百里香兒童青少年關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、諮詢服務和轉介,社區居民、家庭、青少年、兒童,https://www.unitedway.org.tw/%E7%84%A1,my_thyme@yahoo.com.tw,05-5373652,雲林縣,邱翠萍
社團法人雲林縣盲人褔利協進會,就業輔導、權益倡導、志願服務、輔具服務、問安服務、康樂休閒、資訊提供、宣導防治、關懷訪視、健康維護、其他,身心障礙,,xing.xing825@msa.hinet.net,05-6961212,雲林縣,許雅瑩
社團法人雲林縣社會關懷協會,職業訓練、就業輔導、權益倡導、志願服務、專業訓練、親職教育、問安服務、康樂休閒、資訊提供、法律諮詢、宣導防治、關懷訪視,勞工、組織專業、家庭、婦女、青少年、兒童,,tsyrauey@ms46.hinet.net,05-5516683分機01,雲林縣,賴惠華
社團法人雲林縣老人福利保護協會,心理層面之支持、重建、諮商、到宅服務、其他,社區居民、老人、身心障礙,http://www.carefamily.org.tw,oldmman@ms33.hinet.net,05-5519878,雲林縣,賴婉淑
社團法人雲林縣老人長期照護協會,日間照顧、專業訓練、家屬或照顧者支持與訓練、到宅服務、志工培訓、管理,社區居民、老人、身心障礙,http://www.careold.org.tw,careold@ms63.hinet.net,-05-5372198,雲林縣,陳玲穎
社團法人雲林縣耕心家庭協會,生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、社區居住/照顧,家庭、老人,,w560118@yahoo.com.tw,05-5576235,雲林縣,吳台琳
社團法人雲林縣聲暉協進會,心理層面之支持、重建、諮商、就業服務、照顧者支持與訓練、諮詢服務和轉介、社會網絡與倡導,家庭、身心障礙,http://www.yunlinsound.org.tw/,yunlin.sond@msa.hinet.net,05-5978517,雲林縣,江雯雅
社團法人雲林縣聽語障福利協進會,專業訓練、生活層面之支持與重建、就業服務、志工培訓、管理,社區居民、身心障礙,http://yhsi.org.tw/,hsiyounlin@ms93.url.com.tw,05-5972639,雲林縣,鍾欣育
社團法人雲林縣脊髓損傷者協會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動,身心障礙,http://www.ylsci.org.tw/,yunlin.sciorg@msa.hinet.net,05-5266837,雲林縣,張瑞蘭
社團法人雲林縣虎尾殘障福利協會,日間照顧、生活層面之支持與重建、臨時及短期照顧-身障者、就業服務、社會宣導,身心障礙,,Huwei6226072@yahoo.com.tw,05-6332675,雲林縣,高雅慧
社團法人雲林縣視障重建福利協進會,專業訓練、生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、就業準備及訓練,身心障礙,,qwerty8212@yahoo.com.tw,05-5321966,雲林縣,洪孝先
社團法人雲林縣身心障礙者重建協會,,,http://linker.tw/hope/,hopeful.mail@msa.hinet.net,05-5973551,雲林縣,侯迦玲
社團法人高雄三山脊損重建協會,生活層面之支持與重建、心理層面之支持、重建、諮商、社區居住/照顧、輔助科技及無障礙環境協助、其他,身心障礙,http://www.kscsci.org.tw,threebulls@ymail.com,07-719-1039,高雄市,陳益龍
社團法人高雄市一葉蘭同心會,心理層面之支持、重建、諮商、休閒/體育及文化活動、就業準備及訓練、諮詢服務、志工培訓、管理,其他,http://www.kmoa.org.tw/,kmoa@ymail.com,07-2361811,高雄市,賴佳惠
社團法人高雄市三民區安泰社區發展協會,日間照顧、生活層面之支持與重建、到宅服務、休閒/體育及文化活動、志工培訓、管理,其他、社區居民、家庭、老人、婦女、青少年、兒童、身心障礙,http://npo0055.npo.nat.gov.tw/,antai269@yahoo.com.tw,07-3239699,高雄市,張芳淑
社團法人高雄市亞鐳慈善會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、諮詢服務和轉介、其他,其他、遊民、勞工、社區居民、原住民、家庭、老人、身心障礙,http://www.yalei.org.tw/,yalei8686@yahoo.com.tw,07-5561665,高雄市,戴鏜縉
社團法人高雄市仁武慈暉志願協會,,,https://www.unitedway.org.tw/%E7%84%A1,3759727@gmail.com,07-3759727,高雄市,湛月菊
社團法人高雄市佛光腎臟關懷協會,,,http://www.kidneycare.org.tw,kidneysociety@yahoo.com.tw,07-5530270,高雄市,李美春
社團法人高雄市佳音社區營造協會,,,https://www.unitedway.org.tw/baksa1868%40yahoo.com.tw,kaim9708@yahoo.com.tw,07-6681139,高雄市,蕭巧玲
社團法人高雄市傷殘服務協會,,,http://www.home.kimo.com.tw/disable2,disabled2368602@yahoo.com.tw,07-2368602,高雄市,劉春連
社團法人高雄市兒童青少年曙光協會,社會教育、推廣教育,青少年、兒童,,grace_center@yahoo.com.tw,07-3652987,高雄市,張獻憶
社團法人高雄市十點十分生命關懷協會,,,https://www.unitedway.org.tw/%E7%84%A1,peiwei805@yahoo.com.tw,07-5713806,高雄市,黃培偉
社團法人高雄市唇顎裂顱顏協會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、諮詢服務和轉介、社會網絡與倡導,社區居民、家庭、青少年、兒童、身心障礙,https://www.unitedway.org.tw/tw.myblog.yahoo.com/jw%212XAiciKZExGn_%EF%BC%8C%20h...,kcfa2003@yahoo.com.tw,07-2369163,高雄市,葉晃瑞
社團法人高雄市啟智協進會,到宅服務、就業服務、志工培訓、管理、職前準備及訓練、諮詢服務和轉介,身心障礙,http://www.kamr.org.tw,Xz064109@ispeed.com.tw,07-3330718,高雄市,曾月娥
社團法人高雄市基督教福氣教會,休閒/體育及文化活動、諮詢服務和轉介,社區居民、家庭、青少年、兒童,http://www.blessing.com.tw/,jameschien0711@gmail.com,07-3451919分機20,高雄市,馮珮
社團法人高雄市基督教豐收協會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理,社區居民、家庭、婦女、青少年、兒童,https://www.unitedway.org.tw/%E7%84%A1,miyi1016@hotmail.com,07-3101404,高雄市,黃敏儀
社團法人高雄市多元家庭關愛協會,,,https://www.unitedway.org.tw/%E7%84%A1,women_38word@yahoo.com.tw,07-6960456,高雄市,廖瑞玲
社團法人高雄市大崗山康復之友協會,心理層面之支持、重建、諮商、休閒/體育及文化活動、就業服務、照顧者支持與訓練、諮詢服務和轉介,社區居民、家庭、青少年、身心障礙,,kbt_gangshan@so-net.net.tw,07-6221263,高雄市,曾盈薰
社團法人高雄市大高雄生命線協會,心理層面之支持、重建、諮商、志工培訓、管理、性別及婚姻支持服務、諮詢服務和轉介、自殺防治,其他、社區居民、組織專業、青少年,http://kp1995.lokan.com.tw/,kp1995.ks@msa.hinet.net,07-6245995,高雄市,葛姵瑩
社團法人高雄市天主教加大博愛協會,專業訓練、心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、諮詢服務和轉介,其他、社區居民、組織專業、家庭、老人、婦女、青少年、兒童、身心障礙,http://ppt.cc/d6l-,sky326613@yahoo.com.tw,07-2254363,高雄市,邱怡玲
社團法人高雄市天晴女性願景協會,生活層面之支持與重建、心理層面之支持、重建、諮商、就業服務、志工培訓、管理、性別及婚姻支持服務,社區居民、老人、婦女,http://ktcwwa.womenweb.org.tw,tcwwa950108@gmail.com,07-3229588,高雄市,梁淑英
社團法人高雄市失智症協會,教育輔導、志工培訓、管理、照顧者支持與訓練、諮詢服務和轉介、其他,其他、疾病患者、社區居民、組織專業、老人,http://www.kda.org.tw,kda20060930@gmail.com,07-3134752,高雄市,龔達瑋
社團法人高雄市女性行動協會,社會教育、推廣教育、社區發展、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、其他,,,,07-3389310.3389314,高雄市,張貴英
社團法人高雄市婦女新知協會,專業訓練、性別及婚姻支持服務、諮詢服務和轉介、社會網絡與倡導、其他,其他、社區居民、婦女、青少年、兒童,http://awakeningkhs.womenweb.org.tw,awak9742@ms3.hinet.net,07-5500522,高雄市,黃蕾安
社團法人高雄市家庭照顧者關懷協會,社會網絡與倡導、諮詢服務和轉介、照顧者支持與訓練、心理層面之支持、重建、諮商,其他,http://www.caregiver.org.tw/,kh.caregiver@gmail.com,07-3223839,高雄市,吳俞滺
社團法人高雄市尋聲父母教育協會,其他,其他、社區居民、家庭,http://www.wretch.cc/blog/sspea,sspea.ss@msa.hinet.net ; lf.shu39@gmail.com,07-3307327,高雄市,舒麗芳
社團法人高雄市小草關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、照顧者支持與訓練、社會網絡與倡導,疾病患者、社區居民、青少年、兒童、身心障礙,http://grasscare.org.tw/index.php,grasscare98@gmail.com,07-8061733,高雄市,楊沛綺
社團法人高雄市彩色頁女性願景協會,教育輔導、職前準備及訓練、其他,組織專業、婦女,https://www.facebook.com/womenhouse1223,cpw89906@ms66.hinet.net,07-2294060,高雄市,林士芳
社團法人高雄市心手相連關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、社會宣導、志工培訓、管理,疾病患者、婦女,http://www.hth.org.tw,tjyu2@yahoo.com.tw,07-2691803,高雄市,蔡鎔羽
社團法人高雄市心智障礙服務協進會,社區居住/照顧、就業服務、諮詢服務和轉介、社會網絡與倡導、其他,社區居民、家庭、身心障礙,https://www.unitedway.org.tw/%E7%84%A1,ks.heart102@gmail.com,07-8417033,高雄市,蔡櫻花
社團法人高雄市慈善團體聯合總會,生活層面之支持與重建、教育輔導、就業服務、照顧者支持與訓練、諮詢服務和轉介,家庭、青少年、兒童,http://www.3226666.org.tw,liren.ucaks@msa.hinet.net,07-3224315,高雄市,劉雅玲
社團法人高雄市慈賢慈善會,教育輔導、志工培訓、管理、其他,其他、家庭、青少年,http://www.ccktop.org.tw/home2.html,a7497588@yahoo.com.tw,07-7497657,高雄市,許雅玲
社團法人高雄市憨兒就業輔導協會,日間照顧、生活層面之支持與重建、就業準備及訓練、就業服務、社區營造/文化產業,身心障礙,https://www.unitedway.org.tw/%E6%86%A8%E5%85%92%E7%AA%AF.tw,threebulls@ymail.com,07-6815071,高雄市,陳益龍
社團法人高雄市故事媽媽協會,,,https://www.unitedway.org.tw/storymama123.womenweb.org..tw/,storymama123@yahoo.com.tw,07-7762008,高雄市,楊安家
社團法人高雄市注意力缺陷過動症協會,心理層面之支持、重建、諮商、教育輔導,其他、家庭,https://www.unitedway.org.tw/%E7%84%A1,khadhd@ms45.hinet.net,07-2222237,高雄市,魏玉芬
社團法人高雄市濃德看護慈善協會,送餐服務、問安服務、康樂休閒、關懷訪視、其他,社區居民、老人,https://www.unitedway.org.tw/nongder-blog,nd.nd1203@msa.hinet.net,-07-2011201,高雄市,楊昌銘
社團法人高雄市生命線協會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、自殺防治,其他、社區居民、組織專業、老人、青少年,http://www.klla.org.tw,klla.kh@msa.hinet.net,07-2819595,高雄市,林世芬
社團法人高雄市盲人福利協進會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、就業服務、諮詢服務,身心障礙,https://www.unitedway.org.tw/%E7%84%A1,eyes0822@gmail.com,07-7278884,高雄市,王志強
社團法人高雄市社區大學促進會,社會教育、推廣教育、社區發展、權益倡導、志願服務、專業訓練、宣導防治、其他,社區居民、老人、婦女、身心障礙,https://www.facebook.com/aakcu97?fref=ts,aakcu2006@yahoo.com.tw,07-2518200,高雄市,陳泯靜
社團法人高雄市社福慈善團體聯合會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、職前準備及訓練、諮詢服務和轉介,家庭、青少年,http://www.kswu.org.tw,mengjertsai@gmail.com,07-7423627,高雄市,蔡孟哲
社團法人高雄市第一志願服務協會,專業訓練、諮詢服務、社會宣導、志工培訓、管理、社會網絡與倡導,其他、社區居民、青少年,http://www.kh-asa.com/kv/index.asp,kkpcenter@yahoo.com.tw,07-7458454,高雄市,王勝枝
社團法人高雄市築夢關懷協會,心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、照顧者支持與訓練、諮詢服務和轉介、社會網絡與倡導,社區居民、家庭、身心障礙,http://tw.myblog.yahoo.com/ksdreamba,dreammakingass@gmail.com,07-3110601,高雄市,楊渝淨
社團法人高雄市美濃農村田野學會,,,http://meinungfield.wordpress.com/,dbmark0212@gmail.com,02-23223120,台北市,許博任
社團法人高雄市聰動成長協會,心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、教育輔導,疾病患者、老人,http://smartaction.org.tw,smart.action@gmail.com,07-3920873,高雄市,李麗娟
社團法人高雄市肢體障礙協會,生活層面之支持與重建、就業服務、諮詢服務和轉介、社會網絡與倡導,身心障礙,http://angle.org.tw,lkf00@yahoo.com.tw,07-5217120,高雄市,林桂花
社團法人高雄市脊髓損傷者協會,日間照顧、生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、其他,身心障礙,http://www.kssci.org.tw/?.p=HjpE&.hl=zh-tw,scimyhome@gmail.com,07-3346038,高雄市,林玉騰
社團法人高雄市腎臟關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、家屬或照顧者支持與訓練、就業服務、諮詢服務,其他、疾病患者、身心障礙,http://www.kidneycare.org.tw,kidneysociety@yahoo.com.tw,07-5530270,高雄市,李美春
社團法人高雄市腦性麻痺服務協會,日間照顧、生活層面之支持與重建、心理層面之支持、重建、諮商、就業服務,社區居民、家庭、身心障礙,http://www.khcp.org.tw/,khcp199@yahoo.com.tw,07-3120800,高雄市,張雅琳
社團法人高雄市視而不見關懷協會,,,https://www.facebook.com/Oversights,oversights111@gmail.com,07-3648194,高雄市,郭芝芸
社團法人高雄市調色板協會,日間照顧、復康復健、到宅服務、就業服務,家庭、身心障礙,http://www.palette.org.tw/,p2518205@yahoo.com.tw,07-2518208,高雄市,陳秀慧
社團法人高雄市超越巔峰關懷協會,疾病或藥酒毒癮服務、職前準備及訓練、諮詢服務和轉介,身心障礙,http://www.keaepilepsy.org.tw,epilepsy@ms24.hinet.net,07-2157895,高雄市,林素縑
社團法人高雄市身心障礙團體聯合總會,專業訓練、諮詢服務和轉介、社會網絡與倡導,組織專業、身心障礙,http://www.unionkh.org.tw/cm/,unionkh2@gmail.com,07-2010002,高雄市,王桂菲
社團法人高雄市金齡協會,到宅服務、社區居住/照顧、志工培訓、管理,老人,http://www.golden-age.org.tw/,golden-age@yahoo.com.tw,07-3893805,高雄市,賴昱叡
社團法人高雄市關懷台灣協會,日間照顧、志工培訓、管理、其他,社區居民、家庭、老人、婦女、兒童,,tca8211@yahoo.com.tw,07-7636044,高雄市,林麗芬
社團法人高雄市關懷海洋性貧血協會,職業訓練、就業輔導、社會教育、推廣教育、在宅服務、居家照顧、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、輔具服務、康樂休閒、資訊提供、宣導防治、關懷訪視、健康維護,其他、疾病患者、社區居民、家庭、婦女、青少年、兒童、身心障礙,,a100204@ms67.hinet.net,07-2266480,高雄市,蔡瓊珊
社團法人高雄市關懷魚鱗癬協會,職業訓練、醫療協助、關懷訪視,其他、身心障礙,,khh.home@msa.hinet.net,07-3833641,高雄市,陳如琪
社團法人高雄市雙峰關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、家屬或照顧者支持與訓練、諮詢服務、志工培訓、管理,疾病患者、家庭、婦女,http://tw.myblog.yahoo.com/c5539205c5539205/,c5539205c5539205@gmail.com,07-5539234,高雄市,郭怡真
社團法人高雄市青少年關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、保護管束與更生保護、教育輔導、職前準備及訓練,家庭、青少年,http://tw.myblog.yahoo.com/young7471393,liyih68@yahoo.com.tw,07-7471393,高雄市,李怡慧
社團法人高雄縣原住民婦女永續發展協會,職業訓練、社會教育、推廣教育、權益倡導、安親課輔、親職教育、資訊提供、宣導防治、關懷訪視,社區居民、原住民、老人、婦女、青少年、兒童,,kawsdaisshe@gmail.com,07-6701847,高雄市,黟布
社團法人高雄縣安心會,自殺防治/心理衛生、教育輔導、諮詢服務、社會宣導、志工培訓、管理,身心障礙,http://www.easymind.wh.seed.net.tw/,easy990.mind@msa.hinet.net,07-3963468,,黃于庭
社團法人高雄縣康復之友協會,職業訓練、就業輔導、社會教育、推廣教育、社區發展、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、輔具服務、親職教育、問安服務、康樂休閒、資訊提供、法律諮詢、宣導防治、緊急生活重建、關懷訪視、健康維護,社區居民、組織專業、家庭、身心障礙,http://www.kcfmra.org.tw,kcfmra.org@msa.hinet.net,07-7106559;7105569,高雄市,張貴英
社團法人高雄縣心理復健家屬關懷協會,日間照顧、心理層面之支持、重建、諮商、社區居住/照顧、就業服務、照顧者支持與訓練,身心障礙,http://www.cilifuza.org.tw,x12762002@yahoo.com.tw,07-3381771,高雄市,陳仙季
社團法人高雄縣灼燙傷協會,就業輔導、權益倡導、志願服務、康樂休閒、資訊提供、宣導防治、關懷訪視、其他,燒燙傷患者、社區居民、身心障礙,https://www.unitedway.org.tw/%E7%84%A1,phoenix7215@hotmail.com,-07-7637220,,蔡沛琳
社團法人高雄縣社區營造協會,社會教育、推廣教育、社區發展、志願服務、親職教育、資訊提供、關懷訪視、健康維護,社區居民、婦女、青少年、兒童,https://www.unitedway.org.tw/kgscu.tacocity.com.tw%E6%88%96chiawei.tacocity.com....,kgscu_em@yahoo.com.tw或 hui-tiat@yahoo.com.tw,07-6118098,高雄市,李佩儒/李淑良
立達啟能訓練中心,職業訓練、就業輔導、日間照顧、權益倡導、志願服務、親職教育、資訊提供、其他,身心障礙,http://www.leader.org.tw,ritasctc@ms21.hinet.net,(04)22028888,台中市,楊素容
美商花旗銀行,,,https://www.unitedway.org.tw/%E8%AB%8B%E5%A1%AB%E7%B6%B2%E5%9D%80,Chen， Amy Yc [CORP] [amy.yc.chen@citigroup.com],-02-27777787,,陳玉純
臺中市山海屯康復之友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、職前準備及訓練、照顧者支持與訓練、自殺防治,身心障礙,http://www.healthhome.url.tw,ab26234376@yahoo.com.tw,04-26268739,台中市,陳如君
臺中市新生命戒癮成長協會,,藥酒毒癮者,,llc.a423@msa.hinet.net,04-25772119,台中市,陳頌慧
臺中市美麗境界關懷之友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、就業服務、照顧者支持與訓練、諮詢服務和轉介,家庭、身心障礙,https://www.unitedway.org.tw/%E7%84%A1,deniseamy2001@yahoo.com.tw,04-35052633,台中市,林祺雅
臺中市視障者關懷協會,生活層面之支持與重建、社會網絡與倡導,家庭、身心障礙,http://pcavhs.org.tw,via.sp@msa.hinet.net,04-22960318,台中市,梁宛婷
臺北市三玉啟能中心,收容安置,身心障礙,http://www.huakuang.org.tw,desk5832yahoo.com.tw,02-8866-5931,台北市,顏翠菱
臺北市佛教觀音線協會,社會教育、推廣教育、輔導諮商、自殺防治、志願服務、專業訓練、法律諮詢、關懷訪視,,http://www.kuanyin2005.com,kuanyin@seed.net.tw,02-27685256,台北市,吳月美
臺北市氣球藝術教育學會,,,http://www.balloonarts.tw/Balloon_Arts_Taiwan/shou_ye/shou_ye.html,info@balloonarts.tw,02-28856780,台北市,林俊鎧
臺北縣板橋市動態閱讀協會,社會教育、推廣教育、專業訓練、親職教育,其他、組織專業、婦女、青少年、兒童,http://dontai.myweb.hinet.net/,Story1514@yahoo.com.tw,02-29554553,新北市,賴姮分
臺南市心智障礙關顧協會,日間照顧、臨時及短期照顧-身障者、家屬或照顧者支持與訓練、到宅服務、諮詢服務,身心障礙,http://www.flyangel.org.tw/,tamr.sw@msa.hinet.net,06-2013217,台南市,蔡辰苹
臺東縣耕心者關懷協會,,,https://www.facebook.com/pages/%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%80%95%E5%BF%83%E8%...,trva1048@yahoo.com.tw,08-9580615,台東縣,許戊全
臺灣原住民教育經濟發展協會,專業訓練、生活層面之支持與重建、教育輔導、就業服務、社區營造/文化產業,社區居民、原住民、婦女、兒童,http://www.aborigines.org.tw,murandama@yahoo.com.tw,02-26422639,新北市,馬燕萍
臺灣社會工作專業人員協會,專業訓練、社會網絡與倡導,組織專業,http://www.tasw.org.tw,tasw@tasw.org.tw,02-23711714分機12,台北市,吳思妤
臺灣雷特氏症病友關懷協會,,,http://rett.org.tw,rettsyndrome.taiwan@gmail.com,09-11738262,台北市,賴嘉玲
花蓮基督教女青年會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、就業服務、諮詢服務和轉介,社區居民、家庭、老人、婦女、青少年、兒童,http://ywca.myweb.hinet.net,ywca.hualien@msa.hinet.net,03-8345628,花蓮縣,黃敏文
花蓮縣牛根草社區發展促進會,社會教育、推廣教育、社區發展、志願服務、安親課輔、關懷訪視、健康維護,其他、社區居民、老人、兒童,http://www.hometown.org.tw/community/index.php?CommID=1579,bikeclub3558@yahoo.com.tw,03-8764630,花蓮縣,李美玲
花蓮縣觀光發展暨家庭關懷協會,職業訓練、就業輔導、日間照顧、在宅服務、居家照顧、社區發展、志願服務、專業訓練、安親課輔、問安服務、資訊提供、法律諮詢、關懷訪視,受刑人、疾病患者、遊民、勞工、社區居民、組織專業、家庭、老人、婦女、青少年、兒童、身心障礙,http://sightseeing-hualien.org.tw,kun.hi@msa.hinet.net,03-8336386,花蓮縣,莊悅榛
花蓮縣鄉村社區大學發展協會,,,http://www.5wayhouse.org/,5wayhouse@gmail.com,03-8632907~11,花蓮縣,楊沛青
花蓮縣陪你走社會關懷協會,日間照顧、教育輔導、休閒/體育及文化活動、社區營造/文化產業,社區居民、原住民、家庭、老人、婦女、青少年,http://blog.yam.com/user/accompany74.html,caliewan@yahoo.com.tw,03-826 2511,花蓮縣,段家寶
苗栗縣發展遲緩兒童早期療育個案管理中心,早期療育、專業訓練、親職教育,原住民、組織專業、家庭、兒童、身心障礙,,Yuanei88@yahoo.com.tw,037-268995,苗栗縣,李曉玲
苗栗縣觀護協會,社會教育、推廣教育、輔導諮商、自殺防治、親職教育、康樂休閒、宣導防治,社區居民、家庭、青少年、兒童,http://mei4211.hae4211@msa.hinet.net,nine99.nine99@msa.hinet.net,037-591272,苗栗縣,彭金龍 0933823523
苗栗縣頭屋鄉象山社區發展協會,,,https://www.unitedway.org.tw/~~%E8%B1%A1%E5%B1%B1%E7%A4%BE%E5%8D%80%E7%99%BC%E5%...,ho9994@yahoo.com.tw,03- 252256分機11,苗栗縣,何慧英
財團法人「張老師」基金會台中分事務所,專業訓練、心理層面之支持、重建、諮商、自殺防治/心理衛生、教育輔導、志工培訓、管理,疾病患者、遊民、勞工、社區居民、組織專業、家庭、婦女、青少年、兒童、身心障礙,http://www.1980.org.tw,shiuya@ms52.url.com.tw,04-22033050,台中市,黃秀雅
財團法人「張老師」基金會台北分事務所,職業訓練、社會教育、推廣教育,其他、組織專業、青少年,http://www.cyc.org.tw/teacher-chang.htm,youth6180@ms66.url.com.tw,02-27172990,台北市,廖淑月
財團法人「張老師」基金會台北諮商輔導中心（以0597為準）,社會教育、推廣教育、社區發展、輔導諮商、自殺防治、志願服務、專業訓練,勞工、社區居民、組織專業、家庭、婦女、青少年,http://www.1980.org.tw,taipei.tc@mas.hinet.net,02-27170908,台北市,韓芹云
財團法人「張老師」基金會高雄分事務所,社會教育、推廣教育、輔導諮商、自殺防治、志願服務、專業訓練、親職教育、康樂休閒、宣導防治,勞工、社區居民、組織專業、家庭、老人、婦女、青少年、兒童,http://www2.nsysu.edu.tw/t-chang,cyckhcgc@ms15.hinet.net,07-3333221,高雄市,曾瓊瑩
財團法人一粒麥子社會福利慈善事業基金會,日間照顧、教育輔導、復康復健、社區居住/照顧,其他、老人、青少年、兒童、身心障礙,http://www.wheat.org.tw/WheatWeb/,a96093@tch.org.tw,08-9960220分機6808,台東縣,陳宏琪
財團法人中華兒童暨家庭扶助基金會台北北區家庭扶助中心,社會教育、推廣教育,,,crstiuvc@ms22.hinet.net,88611245,台北市,曾淑雯
財團法人中華兒童暨家庭扶助基金會台北縣家庭扶助中心,社會教育、推廣教育、經濟扶助、早期療育、志願服務、專業訓練,,http://www.ccf.org.tw,ccf37a@ms29.hinet.net,29148985,新北市,張佳燕
財團法人中華兒童暨家庭扶助基金會附設臺北縣私立兒童發展學園,早期療育,兒童、身心障礙,http://www.ccf.org.tw,ccf37b@ms43.hinet.net,02-89512925 89512926,新北市,白位傑
